# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1532724	bitcoin	1	6905	0	12	11.2	1242375	133	recent@bitcoin|top@bitcoin|recent@AskSN	HOT,SIGNAL	Leave sats on exchange for easy selling of fork or withdraw?
1532863	bitcoin	1	6421	0	2	6.7	1532699	5	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners	HOT,SIGNAL	Turning a Bitaxe into a Solar Bitcoin Miner
1532777	meta	1	6022	0	3	10.1	1	26936	recent@meta|top@meta	HOT,SIGNAL	SN Saturday Newsletter 7/25/26
1532907	lightning	1	5314	0	0	5.4	328182	3793	recent@lightning|top@lightning	HOT,SIGNAL	How Lightning Scales Bitcoin | Megalith Lightning Docs
1532816	AskSN	2	3207	0	2	8.3	1524952	11	recent@AskSN|top@AskSN	HOT,SIGNAL	Share more stories of onboarding merchants
1532834	bitcoin_Mining	1	2731	0	1	7.8	864760	73	recent@bitcoin_Mining|top@bitcoin_Mining	HOT,SIGNAL	We didn't hit a block today but got a 35.74 T share
1532742	AskSN	2	2569	0	13	10.8	296825	4985	recent@bitcoin_beginners|top@bitcoin_beginners|recent@AskSN	HOT,SIGNAL,SELF_POST_OPP	You got exactly 30 seconds to give a new Bitcoiner one piece of advice.
1532877	AskSN	2	2440	0	2	6.2	88718	45761	recent@lightning|top@lightning|recent@AskSN	HOT,SIGNAL	Why are Alby Go and Alby Hub showing me different spending balances?
1532889	science	2	2220	0	0	6.1	1248037	1836	recent@science|top@science	HOT,SIGNAL	Scientists aimed two laser beams at different patches and measured turbulence
1532978	lol	2	1312	0	2	2.4	1245155	174	recent@lol|top@lol	HOT,SIGNAL	Please Tell Me Something Uplifting and Funny
1532985	bitcoin	1	1000	0	0	2.2	38225	869	recent@bitcoin|top@bitcoin	HOT,SIGNAL	Blockvase - real-time graphical representation of bitcoin mempool
1532971	tech	1	583	0	1	3.2	1527069	10	recent@privacy|top@privacy|recent@devs	SIGNAL	How do you stop YouTube's algorithm from deciding what you watch?
1532707	news	2	488	0	4	11.9	402772	22177	recent@news|top@news	SIGNAL	India ordered GitHub to take down Jack Dorsey's BitChat within three-hours
1532899	AskSN	2	484	0	1	5.7	658459	898	recent@AskSN|top@AskSN	SIGNAL	Financial Stockholm syndrome? Why people prefer the fiat system
1532737	lol	2	249	0	9	10.9	74100	11536	recent@bitcoin|top@bitcoin|recent@lol	SIGNAL,SELF_POST_OPP	Plebly - The Bitcoin Pleb Consortium
1532884	security	1	232	0	0	6.2	108260	1106	recent@security|top@security	SIGNAL	BitChat Tutorial - How to Download, Install, and Use it (2025)
1532885	bitcoin	1	159	0	0	6.2	296825	4985	recent@bitcoin_beginners|top@bitcoin_beginners|recent@lightning	SIGNAL	BitSpenda Extends Bitcoin-to-Mobile Money Payouts to Uganda and Cameroon
1532735	Design	2	100	0	1	11.0	383547	3399	recent@Design|top@Design	SIGNAL	Which AI? — Guess the designer
1532083	AskSN	2	13870	0	24	31.3	1242375	133	recent@AskSN	HOT	Does lightning or coinjoin give better privacy?
1532565	bitcoin	1	11742	0	4	15.1	1054143	1003	recent@bitcoin|top@bitcoin|recent@AskSN	HOT	What Is a UTXO, and Why Does It Matter for Bitcoin Privacy?
1532473	AskSN	2	11095	0	13	17.1	1242375	133	recent@AskSN|top@AskSN	HOT,SELF_POST_OPP	Risks of recombining utxos from Samourai mixes
1532438	Politics_And_Law	3	10698	0	4	17.7	328182	3793	recent@econ|top@econ|recent@history	HOT	Taxation Without Representation: An Enduring American Grievance?
1532323	Stacker_Stocks	2	10523	0	9	19.9	9274	25403	recent@Stacker_Stocks|top@Stacker_Stocks	HOT,SELF_POST_OPP	Daily Stock Discussion ~Stacker_Stocks
1532501	Stacker_Stocks	2	9539	0	4	16.7	724606	11757	recent@econ|top@econ|recent@Stacker_Stocks	HOT	Financialization is a Force for... Bad (FT, Gillian Tett)
1531990	security	1	7788	0	11	34.1	440139	4206	recent@security|recent@news	HOT	US accuses man of wiping his Graphene phone using a 'duress' password
1532275	history	2	7377	0	2	22.4	1512518	102	recent@history|top@history	HOT	Daily Bitcoin Lore (16 years ago): ArtForz Controls 20-30% of Network Hash
1532281	history	2	7354	0	2	21.9	1512518	102	recent@history|top@history	HOT	Daily Bitcoin Lore (9 years ago): BTC-e Falls, Tied to Mt. Gox's Missing Coins
1532015	bitcoin	1	6908	0	6	33.6	144357	4398	recent@bitcoin	HOT	My interview with a civilian anti defense in Kyiv | SNL #234
1531972	Design	2	5696	0	2	34.9	383547	3399	recent@Design	HOT	Which AI? — Guess the designer
1531953	bitcoin	1	5528	0	1	35.4	298505	835	recent@bitcoin|recent@podcasts	HOT	Bitcoin Could Split In 15 Days — How To Protect Your Stack | Wicked & Portland
1532041	bitcoin	1	5524	0	4	32.7	74100	11536	recent@bitcoin|recent@bitdevs	HOT	Implement BIP 54 (Consensus Cleanup) without mainnet activation by darosior
1531930	econ	2	5227	0	2	35.8	724606	11757	recent@econ	HOT	Here’s How Nancy Pelosi Beat the Stock Market and Warren Buffett
1532095	bitcoin	1	4999	0	5	31.0	303620	6213	recent@bitcoin|recent@bitcoin_Mining	HOT	Australian Brewery Uses Excess Solar to Mine Bitcoin
1532577	AI	1	4398	0	12	14.8	900202	2530	recent@AI|top@AI	HOT	Has intellectual property ever actually existed?
1532072	science	2	3799	0	13	31.8	51481	4103	recent@tech|recent@science|recent@Stacker_Stocks	HOT,SELF_POST_OPP	SpaceX Launch Starship Flight 13
1532158	devs	1	3619	0	5	28.4	28117	3532	recent@devs	HOT	Learning Embedded Rust
1532129	BooksAndArticles	2	3412	0	0	29.9	169890	243	recent@BooksAndArticles	HOT	Book Review: Ivan Illich: An Intellectual Journey by David Cayley
1532638	Construction_and_Engineering	2	2126	0	6	13.9	402772	22177	recent@Construction_and_Engineering|top@Construction_and_Engineering	HOT,SELF_POST_OPP	India Is Building a 60 KM Dam Across the Gulf of Khambhat
1532484	Stacker_Sports	3	2046	0	4	16.9	724606	11757	recent@econ|top@econ	HOT	The Economics of the World Cup (WSJ, Roland Fryer)
1532127	meta	1	1871	0	10	29.9	92827	2763	recent@meta	HOT	SNZ appearing on your screen for the first time all week! [issue #66]
1531922	charts_and_maps	2	1845	0	4	36.0	241	2872	recent@charts_and_maps	HOT	Number of Days with Comfortable Weather
1532453	lightning	1	1830	0	2	17.5	440729	206	recent@lightning|top@lightning	HOT	Biggest Channel Opened Today (2.5 BTC) + New Node Spotlight (0319c14d5533fa2b5…)
1531934	tech	1	1659	0	0	35.7	1519632	8	recent@nostr|recent@privacy|recent@tech	HOT	"Pantry" nostr bulit shopping lists
1532307	meta	1	1625	0	1	20.7	36151	1566	recent@meta|top@meta	HOT	This Day on SN: July 25
1531967	Politics_And_Law	3	1584	0	7	35.0	724606	11757	recent@econ	HOT,SELF_POST_OPP	A Serious Social Security Rundown (The Atlantic, Marc Novicoff)
1531975	tutorials	2	1537	0	4	34.8	1	26936	recent@devs|recent@tech|recent@tutorials	HOT	FPGA Development Deep Dive - ModRetro's M64
1531949	Politics_And_Law	3	1394	0	4	35.4	724606	11757	recent@econ	HOT	Europooreans Unite! What Was the European Dream? (FUSION Mag, David Polansky)
1532606	AskSN	2	1390	0	2	14.4	984933	1734	recent@AskSN|top@AskSN|recent@history	HOT	Did you know that…?
1532476	econ	2	1307	0	1	17.1	724606	11757	recent@econ|top@econ	HOT	Monetary Policy is About Money Again (FT, Brandon Greeley)
1532232	bitcoin	1	861	0	2	25.0	48657	14320	recent@bitcoin		Looking for opinions on BitPay
1532241	nostr	1	712	0	1	24.8	341578	5889	recent@nostr		Why my home is on nostr
1532116	news	2	688	0	0	30.5	1054143	1003	recent@econ|recent@news		Nigeria’s external reserves hit $52.73bn – CBN
1532516	bitcoin_Mining	1	680	0	1	16.4	273359	641	recent@bitcoin_Mining|top@bitcoin_Mining|recent@mempool		Mining Pool Health Report [Week 1]
1532478	gaming	3	665	0	2	17.1	458256	4824	recent@tech|top@tech		Amazon Adds Video Games Into Prime Video in Expansion Push
1532326	BooksAndArticles	2	638	0	0	19.8	30782	25238	recent@BooksAndArticles|top@BooksAndArticles		Books & Articles Top Posts Of The Week 7/25/26
1532207	bitcoin	1	570	0	2	26.1	74100	11536	recent@bitcoin|recent@bitcoin_beginners		"I don't need to run a node right now" - Steve Barbour
1532447	AskSN	2	513	0	0	17.6	102558	1112	recent@AskSN|top@AskSN		From paper to digital... Options?
1532250	AskSN	2	447	0	0	24.4	296825	4985	recent@bitcoin_beginners|recent@bitcoinplusplus|recent@bitdevs		What's A Cypherpunk?
1532012	meta	1	421	0	0	33.7	296825	4985	recent@bitcoin_beginners|recent@lightning|recent@meta		Should Stackers Without a Gun Receive CCs Instead of Sats?
1531973	videos	3	418	0	0	34.9	296825	4985	recent@ideasfromtheedge		They should repay for reconstruction
1532004	meta	1	383	0	7	33.9	296825	4985	recent@bitcoin_beginners|recent@lightning|recent@meta		Should Stackers Without a Gun Receive CCs Instead of Sats?
1532088	AI	1	376	0	0	31.2	328182	3793	recent@tech|recent@AI		A Reconfigurable Framework for AI-FPGA Agent Integration and Acceleration
1532042	Geyser_community	3	368	0	0	32.6	296825	4985	recent@bitcoin_beginners|recent@lightning		Bitcoin Lexion
1532647	videos	3	324	0	0	13.6	9274	25403	recent@Construction_and_Engineering|top@Construction_and_Engineering		Pueblo Pintado Health Center Construction Project: Jayne’s Corporation
1532554	bitcoin_beginners	1	310	0	0	15.2	296825	4985	recent@bitcoin_beginners|top@bitcoin_beginners|recent@lightning		An interview with Kgothatso Ngako from Machankura, South Africa
1532238	ideasfromtheedge	2	294	0	0	24.8	341578	5889	recent@ideasfromtheedge		From a successful NPC to a isolated desert dweller, a short story
1532249	AI	1	293	0	5	24.4	104755	12631	recent@AI|recent@BooksAndArticles		AI and Innovation Festival in Singapore
1532420	Politics_And_Law	3	292	0	0	18.2	88718	45761	recent@history|top@history		The Anti-Slavery Advocates of Disunion
